seccion,calificacion,cantidad,edad
speak 1,Pre - A1,23,11
speak 1,A1,14,11
speak 1,A2,11,11
speak 2,Pre - A1,21,11
speak 2,A1,16,11
speak 2,A2,11,11
reading,Pre - A1,1,11
reading,A1 -,3,11
reading,A1,6,11
reading,A1 +,6,11
reading,A2 -,8,11
reading,A2,14,11
reading,A2 +,10,11
listening,Pre - A1,0,11
listening,A1 -,5,11
listening,A1,5,11
listening,A1 +,16,11
listening,A2 -,5,11
listening,A2,9,11
listening,A2 +,8,11
speak 1,Pre - A1,3,10
speak 1,A1,2,10
speak 1,A2,2,10
speak 2,Pre - A1,3,10
speak 2,A1,2,10
speak 2,A2,2,10
reading,Pre - A1,0,10
reading,A1 -,0,10
reading,A1,0,10
reading,A1 +,3,10
reading,A2 -,2,10
reading,A2,0,10
reading,A2 +,2,10
listening,Pre - A1,0,10
listening,A1 -,0,10
listening,A1,2,10
listening,A1 +,2,10
listening,A2 -,0,10
listening,A2,2,10
listening,A2 +,1,10
